Initial Distance (m),FID (m)
6,0.5
4.5,0.5
4.5,1.25
13.5,0.75
4.75,1.375
7.5,1.125
11,2.375
6.125,1.5
7,1.5
11,2
6.25,1
7.75,1.5
10,1.25
4.5,1
13,0.625
6.625,2.5
7.5,0.75
8,1
17.25,1.125
7.5,1
7.25,1.375
6.5,0.875
9.25,1.5
5.5,2
4.5,1.5
8,1
13.5,0.5
3.5,0.5
6.75,0.5
11.5,8
10.5,1.5
8,0.75
21,9.6
5.25,1.25
7,1
6.625,1
6,2
5,0.875
5.875,1.5
5.75,0.25
7.75,1.75
5.75,1
6.5,1
9.5,1
6.5,1
6,0.625
9.5,2
5.625,2.5
3.75,0.75
8,2
8.75,1.5
6.5,0.75
12.5,1.5
10.25,4.125
6,2
8.5,1.5
6.5,2.5
11,2
4.5,1.5
6,0.5
4.5,0.5
6.5,2
8.5,2.75
8,3
10.5,2.875
5.25,1.25
6,1.5
9.5,2.25
10,3.5
8,1
6.5,0
5,0.75
8.5,0.5
10.5,1.125
19,2
7,4
7.125,1
4.25,0.75
14.25,0.875
11.375,3.5
10.5,1.5
6,1.25
7,1.625
9,3.75
9.5,4.25
6.25,2.875
7.5,5
11,2
10,1.125
12,1.5
8.75,1.125
7,1.625
5.5,1
4.875,1.5
9,1.5
8.5,3.125
6.5,0.5
,2
8.5,1.75
8,3.5
8,1.125
6.5,1.375
7.25,2
9.75,1
12.5,9.5
6,1.5
7,0.375
17,4.5
12,4
8,0.5
15,3
4,1
8.5,2
3,1.5
12,1
16,2.25
8.5,0.5
9.5,4
9.5,6.5
6.5,1
20.75,0.75
8.5,0.5
18.5,1.75
7.25,2.75
13.5,2.75
5.5,2.5
7,1.5
12,0.5
5,1
4,1.5
6.5,1.25
4.75,0.75
8,1
4.75,3.25
3,0.5
15.5,4.5
7,2.5
10,7.75
14,3.5
5,4
11.5,5
10,1.25
6.5,1
13,1
5.5,2.125
13,5
7.5,0.75
6.5,2.5
30,1.5
14.75,7.5
5.75,1.25